ID,Layer,Question,Domain,Data Element,FHIR Resource,FHIR Path,Terminology Binding,Binding Strength,Bundle,Code Provenance,Value Provenance,Notes,IG Implementation
L3.G.1,IG-Operational,—,G: Workflow & orchestration,RotatorCuffRegistrationBundle profile,Bundle,Bundle.type,—,required,Registration,—,—,"Pre-op (T0) submission envelope; 1..1 Patient + 1..* Condition + 1..1 Encounter + 0..* priorTreatment + optional Observations / ImagingStudy (0..*, one per modality) / Coverage / QR (CarePlan moved to RotatorCuffSurgeryBundle, ADR-0129; imaging DiagnosticReport/ServiceRequest slices removed, ADR-0172). ADRs 0017 / 0034 / 0037",RotatorCuffRegistrationBundle profile in ig/input/fsh/profiles/
L3.G.2,IG-Operational,—,G: Workflow & orchestration,RotatorCuffSurgeryBundle profile,Bundle,Bundle.type | Procedure.partOf,—,required,Surgery,—,—,"Surgical (T1) submission envelope; 1..1 Encounter + 1..* Procedure (Surgical) + optional intra-op Observations. ADR-0034. Index versus concomitant procedure is not sliced (both are RotatorCuffProcedure, so neither IPS discriminator separates them) and is not implied by entry order either: entry order belongs to the submission document and is gone once the transaction is persisted, after which a reader sees several procedures sharing one encounter, performer and performedPeriod with nothing distinguishing them. A concomitant procedure therefore carries Procedure.partOf pointing at the index procedure, and the index procedure is the one with no partOf — the same on-the-resource linkage Observation.partOf already provides for the technique Observations (L3.E.6-L3.E.8). See ADR-0186.",RotatorCuffSurgeryBundle profile; RotatorCuffProcedure.partOf 0..1 MS only Reference(RotatorCuffProcedure)
L3.G.3,IG-Operational,—,G: Workflow & orchestration,RotatorCuffFollowUpBundle profile,Bundle,Bundle.type,—,required,FollowUp,—,—,Per-visit longitudinal submission envelope for each Q11 timepoint. ADR-0030,RotatorCuffFollowUpBundle profile
L3.G.4,IG-Operational,—,G: Workflow & orchestration,RotatorCuffResearchCarePlan profile,CarePlan,CarePlan.activity,—,—,Surgery,Local,—,"Carries the Q11 5-timepoint schedule as scheduled activities — the expert consensus names the timepoints but never names a CarePlan resource. Carried in the Surgery bundle and auto-generated by both frontends from the index procedure date (ADR-0129). Each activity carries an activity.detail.code discriminator (local Q11TimepointCodes CodeSystem and Q11Timepoint ValueSet), so the 5 timepoints are coded rather than only free-text-described. A completed Follow-Up Encounter is deliberately not back-linked to its activity through an out-of-band CarePlan update — see ADR-0151.",RotatorCuffResearchCarePlan profile with five Q11.a–e activities; activity.detail.code bound to Q11Timepoint (ADR-0151)
L3.G.6,IG-Operational,—,G: Workflow & orchestration,Questionnaire + QuestionnaireResponse artifacts,Questionnaire,Questionnaire | QuestionnaireResponse,—,—,"Registration,Surgery,FollowUp",—,—,Enables form-driven data entry (SDC frontend). ADR 0021,Questionnaire instances + RotatorCuffQuestionnaireResponse profile
L3.H.1,IG-Operational,—,H: Provider / operational,Procedure performer,Procedure,Procedure.performer.actor,—,—,Surgery,—,—,"Not named by the expert consensus (verified against the full Hurley et al. 2024 text). Needed for any multi-surgeon registry. Captured as a free-text surgeon name per surgical event, Reference.display only; this IG declares no Practitioner directory. See ADR-0150.",RotatorCuffProcedure.performer.actor MS; SurgicalEventStep.tsx / ShoulderSurgeryQuestionnaire.fsh 'Surgeon / Performer' field (ADR-0150)
L3.H.2,IG-Operational,—,H: Provider / operational,Procedure outcome,Procedure,Procedure.outcome,—,example,Surgery,—,—,Operational metadata for surgical outcome notes. The surgery wizard (SurgicalEventStep.tsx) presents it as 'Intraoperative Success' — a display label only; the FHIR element and cardinality are unaffected. See ADR-0108.,RotatorCuffProcedure.outcome MS
L3.H.3,IG-Operational,—,H: Provider / operational,Procedure note,Procedure,Procedure.note,—,—,Surgery,—,—,Free-text annotation slot,RotatorCuffProcedure.note MS
L3.I.1,IG-Operational,—,I: Expert consensus single-word terms with rich IG structure,ShoulderCoverage profile (Q1.l realisation),Coverage,Coverage.type | Coverage.payor,http://hl7.org/fhir/ValueSet/coverage-type,extensible,Registration,—,Reused,expert consensus Q1.l names 'Workmen's compensation' as a single yes/no history flag with no further decomposition; the IG realises a 'yes' answer as a Coverage resource with type = v3-ActCode#WCBPOL (German Berufsgenossenschaft). 'No'/'unknown' answers emit no Coverage. Broader payer categorisation (GKV/PKV/Selbstzahler) is intentionally out of scope — not named by the expert consensus; HL7 DE Basisprofil deferred. See ADR-0061.,"ShoulderCoverage profile + Workers' Compensation yes/no/unknown field in StepPatient.tsx (unified frontend) and a loose-leaf equivalent item in ShoulderRegistrationQuestionnaire.fsh (SDC frontend, ADR-0131); sister row to Q1.l (Consensus layer) — same closure"
L3.I.2,IG-Operational,—,I: Expert consensus single-word terms with rich IG structure,PriorTreatmentCategory (Q1.f realisation),Procedure,Procedure.category,PriorTreatmentCategory,required,Registration,—,Local,expert consensus Q1.f bundles 'PT/injections' as one history item; the IG realises it as category-bound 0..* Procedure entries with a required ValueSet preventing surgical-category procedures in the Registration bundle. ADR-0034,PriorTreatmentCategory bound on RotatorCuffRegistrationBundle.entry[priorTreatment]
L3.I.3,IG-Operational,—,I: Expert consensus single-word terms with rich IG structure,Ultrasound recording (former Q7),ImagingStudy,ImagingStudy.modality,http://dicom.nema.org/resources/ontology/DCM,extensible,Registration,Reused,—,expert consensus Q7 achieved 60% agreement — below the 80% Delphi consensus threshold. Moved from the Consensus layer to Layer 3 per ADR-0039: the IG supports US recording for clinical-utility reasons but the element is not part of the SECEC consensus denominator,ShoulderImagingStudy supports DICOM US modality
